keyboard,path,targets,touch_target,layoutfile,touch_file,platforms,layers,nondefault_longpress,longpress_beyond_template,flick,multitap,verdict
adinkra,experimental/a/adinkra/source/adinkra.kmn,any,yes,yes,yes,phone,default|shift|numeric,0,0,0,0,DEFAULT_SCAFFOLD
alephwithbeth,experimental/a/alephwithbeth/source/alephwithbeth.kmn,any,yes,yes,yes,tablet,default|shift|alt,0,0,0,0,DEFAULT_SCAFFOLD
alkelang,experimental/a/alkelang/source/alkelang.kmn,mobile,yes,yes,yes,phone,default|shift|caps|ipa|ipa_shift|ipa_caps|symbols|currencies,191,151,0,4,DEVELOPED
amuzgo_guerrero,experimental/a/amuzgo_guerrero/source/amuzgo_guerrero.kmn,any,yes,yes,yes,tablet,default|rightalt|shift|rightalt-shift,0,0,0,0,DEFAULT_SCAFFOLD
assyrian_audo,experimental/a/assyrian_audo/source/assyrian_audo.kmn,any,yes,yes,yes,tablet+phone,default|shift|numeric|diacritics,19,19,0,0,DEVELOPED
athinkra_mwangwego,experimental/athinkra/athinkra_mwangwego/source/athinkra_mwangwego.kmn,web desktop,yes,yes,yes,phone,default|shift|alt,0,0,1,1,DEVELOPED
beria_erfe_phonetic,experimental/b/beria_erfe_phonetic/source/beria_erfe_phonetic.kmn,any,yes,yes,yes,phone,default|shift|numeric,40,40,0,0,DEVELOPED
bidayuh,experimental/b/bidayuh/source/bidayuh.kmn,any,yes,yes,yes,phone,default|shift|numeric|symbol|caps,16,16,18,1,DEVELOPED
carambolfulbhe,experimental/c/carambolfulbhe/source/carambolfulbhe.kmn,any,yes,yes,yes,tablet,default|shift|rightalt,0,0,0,0,DEFAULT_SCAFFOLD
carian,experimental/c/carian/source/carian.kmn,any,yes,yes,yes,tablet,default,15,15,0,0,DEVELOPED
chalchiteko,experimental/c/chalchiteko/source/chalchiteko.kmn,any,yes,yes,yes,tablet,default|shift|caps,21,21,0,0,DEVELOPED
chorasmian,experimental/c/chorasmian/source/chorasmian.kmn,any,yes,yes,yes,tablet,default,0,0,0,0,DEFAULT_SCAFFOLD
chuvash,experimental/c/chuvash/source/chuvash.kmn,any,yes,yes,yes,phone,default|shift|numeric,30,30,0,0,DEVELOPED
cim,experimental/c/cim/source/cim.kmn,any,yes,yes,yes,tablet,default|shift|numeric|symbol,49,43,0,0,DEVELOPED
colchis_phonetic,experimental/c/colchis_phonetic/source/colchis_phonetic.kmn,any,yes,yes,yes,phone,default|shift|numeric,2,2,0,0,DEVELOPED
dubeolsik_phonetic,experimental/d/dubeolsik_phonetic/source/dubeolsik_phonetic.kmn,any,yes,yes,yes,tablet,default|shift|numeric|currencies,27,27,0,0,DEVELOPED
east_slavic,experimental/e/east_slavic/source/east_slavic.kmn,any,yes,yes,yes,tablet,default|shift|numeric|currencies|caps,65,65,0,0,DEVELOPED
elfdalian,experimental/e/elfdalian/source/elfdalian.kmn,any mobile,yes,yes,yes,tablet,default|CapsLock|symbols|CapsOneHit,35,35,0,0,DEVELOPED
elymaic,experimental/e/elymaic/source/elymaic.kmn,any,yes,yes,yes,tablet,default,0,0,0,0,DEFAULT_SCAFFOLD
finongan,experimental/f/finongan/source/finongan.kmn,any,yes,yes,yes,tablet+phone,default|shift|numeric|symbol,29,29,0,0,DEVELOPED
fulfulde_borgu_ajami_azerty,experimental/f/fulfulde_borgu_ajami_azerty/source/fulfulde_borgu_ajami_azerty.kmn,any,yes,yes,yes,tablet,default|shift,13,13,0,0,DEVELOPED
fulfulde_borgu_ajami_qwerty,experimental/f/fulfulde_borgu_ajami_qwerty/source/fulfulde_borgu_ajami_qwerty.kmn,any,yes,yes,yes,tablet,default|shift,14,14,0,0,DEVELOPED
